FILENAME,SLEEQ_DMOS,BANDING_DMOS,NOISE_DMOS,WIDTH,HEIGHT,SPATIAL_COMPLEXITY,TEMPORAL_COMPLEXITY,CHUNK_COMPLEXITY_VARIATION,COLOR_COMPLEXITY
Animation_2160P-41dc,0.008,0.10400000000000001,0.094,3840,2160,2.423,0.376,16.159000000000002,0.6559999999999999
Animation_2160P-6f3b,0.295,0.41100000000000003,0,3032,2304,0.138,0.725,2.214,0.261
Animation_360P-08c9,0.03,0.228,0.103,640,360,0.99,0.257,3.2510000000000003,0.171
Animation_360P-188f,0.0,0.441,0.009,640,360,0.434,0.465,4.22,0.5720000000000001
Animation_360P-24d4,0.0,0.129,0.134,480,360,2.01,0.16899999999999998,6.707000000000001,0.151
Animation_360P-3e40,0.015,0.349,0.147,640,360,1.0290000000000001,0.242,4.022,0.019
Animation_360P-3e52,0.059000000000000004,0.113,0.168,640,360,0.622,0.157,3.162,0.083
Animation_360P-47cc,0.209,0.094,[NULL],640,360,1.294,0.17300000000000001,5.706,0.054000000000000006
Animation_360P-4b4c,0.0,0.094,0,640,360,0.079,0.044000000000000004,0.04,0.092
Animation_360P-4edc,0.146,0.19899999999999998,0,640,360,1.148,0.41200000000000003,7.822,0.41
Animation_360P-5712,0.017,0.18600000000000003,[NULL],640,360,1.0590000000000002,0.168,4.354,0.28300000000000003
Animation_360P-5de0,0.040999999999999995,0.187,0.086,640,360,0.855,0.319,4.345,0.155
Animation_360P-631c,0.0,0.391,0.148,640,360,2.116,0.092,3.386,0.703
Animation_360P-69e0,0.092,0.122,0.435,640,360,1.037,0.262,3.8960000000000004,0.106
Animation_360P-7856,0.0,0.094,0,640,360,0.905,0.003,0.055999999999999994,0.149
Animation_360P-794f,0.0,0.11599999999999999,0.131,640,360,0.951,0.441,6.712999999999999,0.609
Animation_480P-046c,0.09,0.133,0.181,640,480,0.8590000000000001,0.397,7.273,0.493
Animation_480P-0529,0.0,0.14300000000000002,0.26,640,480,1.074,0.044000000000000004,0.8270000000000001,0.08199999999999999
Animation_480P-073c,0.092,0.866,0.081,640,480,0.41200000000000003,0.616,3.55,0.0
Animation_480P-087e,0.0,0.225,0.149,720,480,0.409,0.33899999999999997,1.744,0.025
Animation_480P-08a5,0.062,0.111,0,640,480,2.685,0.312,15.224,0.6940000000000001
Animation_480P-0d04,0.0,0.13699999999999998,0,856,480,0.166,0.311,1.368,0.17
Animation_480P-1da7,0.045,0.11900000000000001,0.098,928,480,1.591,0.152,5.3229999999999995,0.348
Animation_480P-35ee,0.0,0.094,0,720,480,0.083,0.575,1.416,0.0
Animation_480P-3e06,0.0,0.094,0.045,640,480,0.298,0.023,0.447,0.17600000000000002
Animation_480P-3fdf,0.008,0.094,0.188,640,480,4.399,0.374,11.151,0.7170000000000001
Animation_480P-4b80,0.0,0.095,0.135,640,480,1.382,0.107,8.597000000000001,0.514
Animation_480P-4b86,0.013999999999999999,0.127,0.002,720,480,0.39899999999999997,0.10800000000000001,1.036,0.081
Animation_480P-4e36,0.0,0.094,0,640,480,0.10800000000000001,0.361,0.19699999999999998,0.192
Animation_480P-52af,0.16399999999999998,0.096,0.07,854,480,1.48,0.013000000000000001,0.6509999999999999,0.01
Animation_480P-66c0,0.044000000000000004,0.18899999999999997,0.219,720,480,0.747,0.301,1.5630000000000002,0.659
Animation_480P-6e23,0.0,0.095,0,854,480,0.177,0.253,1.037,0.048
Animation_480P-6ef6,0.0,0.094,0,640,480,0.166,0.33799999999999997,0.433,0.068
Animation_480P-6ff4,0.138,0.126,0.194,854,480,1.48,0.488,3.201,0.305
Animation_480P-70d4,0.057999999999999996,0.287,0.107,720,480,0.19399999999999998,0.423,1.3659999999999999,0.09300000000000001
Animation_480P-7114,0.005,0.095,0.569,854,480,0.946,0.379,6.082000000000001,0.395
Animation_480P-791b,0.0,0.09699999999999999,0,640,480,0.162,0.063,0.243,0.065
Animation_480P-7a31,0.027000000000000003,0.094,0.497,640,480,4.417,0.046,3.7430000000000003,0.467
Animation_480P-7ef2,0.022000000000000002,0.305,0.091,854,480,0.47700000000000004,0.228,1.777,0.23800000000000002
Animation_720P-0116,0.0,0.094,0,1280,720,0.39299999999999996,0.192,0.376,0.0
Animation_720P-01b3,0.040999999999999995,0.16399999999999998,0,1280,720,1.196,0.317,5.46,0.231
Animation_720P-06a6,0.0,0.1,[NULL],1280,720,2.415,0.21899999999999997,3.029,0.10400000000000001
Animation_720P-0acc,0.215,0.094,0.281,1280,720,0.914,0.619,5.422999999999999,0.16399999999999998
Animation_720P-0c8f,0.17,0.355,1,1280,720,0.552,0.223,6.881,0.068
Animation_720P-13b7,0.0,0.525,0,1280,720,0.27899999999999997,0.124,0.304,0.17600000000000002
Animation_720P-1a6d,0.32899999999999996,0.094,0.254,1280,720,1.94,0.084,1.611,0.0
Animation_720P-2525,0.0,0.094,0.162,1280,720,1.15,0.053,0.106,0.48100000000000004
Animation_720P-26d2,0.075,0.094,0.031,1280,720,0.716,0.218,10.349,0.06
Animation_720P-2abf,0.0,0.094,0.114,1280,720,1.351,0.284,5.334,0.0
Animation_720P-3adc,0.332,0.094,0,1280,720,1.61,0.028999999999999998,1.735,0.13
Animation_720P-412a,0.078,0.442,0.115,1280,720,0.8640000000000001,0.27699999999999997,5.361000000000001,0.311
Animation_720P-41cf,0.0,0.838,0.125,1280,720,0.33899999999999997,0.6579999999999999,0.9359999999999999,0.179
Animation_720P-41d6,0.0,0.095,0.114,960,720,0.775,0.243,12.338,0.622
Animation_720P-4268,0.019,0.094,0.045,1280,720,0.6409999999999999,0.7290000000000001,5.398,0.077
Animation_720P-431c,0.031,0.48200000000000004,0,1280,720,0.177,0.45899999999999996,1.51,0.094
Animation_720P-4b17,0.0,0.094,0.02,1280,720,1.5030000000000001,0.003,0.09300000000000001,0.187
Animation_720P-57d9,0.006,0.095,0.306,1280,720,0.623,0.43700000000000006,9.232000000000001,0.253
Animation_720P-5bfc,0.038,0.095,0.201,1280,720,1.98,0.569,12.152000000000001,0.34700000000000003
Animation_720P-620f,0.023,0.156,0.118,1280,720,0.282,0.40299999999999997,0.6579999999999999,0.466
Animation_720P-6372,0.125,0.268,0.231,1280,720,2.01,0.639,22.895,0.113
Animation_720P-79ee,0.153,0.094,1,1280,720,2.029,0.281,3.804,0.021
Animation_720P-7b29,0.002,0.18899999999999997,0.131,1280,720,1.422,0.259,7.694,0.033
Animation_720P-7e7d,0.038,0.095,0,1280,720,2.19,0.816,9.802,0.539
Animation_720P-7ff2,0.285,0.098,0.098,1280,720,0.87,1.0190000000000001,3.656,0.10099999999999999
CoverSong_1080P-0188,0.0,0.094,0,1920,1080,3.61,0.115,0.574,0.087
CoverSong_1080P-033d,0.08,0.094,0.122,1920,1080,1.459,0.281,0.647,0.076
CoverSong_1080P-0a86,0.055999999999999994,0.11699999999999999,0,1920,1080,0.6759999999999999,0.24600000000000002,1.425,0.149
CoverSong_1080P-0cdc,0.086,0.094,0.101,1920,1080,0.17600000000000002,0.46399999999999997,0.107,0.076
CoverSong_1080P-0f33,0.142,0.109,0.124,1920,1080,0.414,0.41700000000000004,0.126,0.165
CoverSong_1080P-0f3a,0.062,0.094,0.052,1440,1080,1.3719999999999999,0.5,10.135,0.0
CoverSong_1080P-1963,0.159,0.098,0.065,1920,1080,0.41200000000000003,0.025,0.11699999999999999,0.096
CoverSong_1080P-1b08,0.0,0.094,0.183,1920,1080,0.731,0.265,0.373,0.078
CoverSong_1080P-1b0c,0.052000000000000005,0.11,0.135,1920,1080,0.485,0.5660000000000001,0.634,0.608
CoverSong_1080P-2207,0.006,0.095,0.034,1440,1080,1.797,0.524,11.265,0.0
CoverSong_1080P-237f,0.111,0.135,0,1920,1080,1.51,0.397,11.578,0.445
CoverSong_1080P-3409,0.0,0.094,0,1920,1080,1.9140000000000001,0.136,0.609,0.179
CoverSong_1080P-3499,0.263,0.094,0.165,1920,1080,1.4240000000000002,0.35600000000000004,1.859,0.369
CoverSong_1080P-3aac,0.17600000000000002,0.094,0.224,1920,1080,1.351,0.363,0.261,0.552
CoverSong_1080P-3df8,0.002,0.094,0.111,1920,1080,0.713,0.491,3.622,0.08
CoverSong_1080P-4bad,0.11,0.094,0,1920,1080,1.349,0.187,0.27899999999999997,0.349
CoverSong_1080P-5430,0.054000000000000006,0.095,0,1920,1080,1.05,0.29100000000000004,4.23,0.426
CoverSong_1080P-5456,0.0,0.095,0,1920,1080,0.252,0.344,0.151,0.006999999999999999
CoverSong_1080P-5cae,0.26899999999999996,0.373,0.099,1920,1080,0.802,0.445,0.064,0.122
CoverSong_1080P-5e69,0.285,0.094,0,1920,1080,0.49700000000000005,0.5379999999999999,0.29,0.16899999999999998
CoverSong_1080P-5f92,0.069,0.094,0.086,1920,1080,0.488,0.195,0.9490000000000001,0.006999999999999999
CoverSong_1080P-6f26,0.062,0.19699999999999998,0,1440,1080,1.636,0.48700000000000004,7.171,0.46299999999999997
CoverSong_360P-0a9d,0.067,0.094,0.273,640,360,0.821,0.11199999999999999,0.25,0.539
CoverSong_360P-0aa2,0.364,0.096,0.28,640,360,1.546,0.149,0.439,0.092
CoverSong_360P-11f9,0.01,0.094,0.322,640,360,1.671,0.135,0.46799999999999997,0.715
CoverSong_360P-13d2,0.0,0.094,0.23,640,360,1.204,0.14,0.447,0.256
CoverSong_360P-14b9,0.152,0.094,0.308,640,360,1.077,0.253,0.45,0.23199999999999998
CoverSong_360P-1b2b,0.019,0.10800000000000001,0.305,640,360,1.079,0.17300000000000001,1.218,0.0
CoverSong_360P-2146,0.04,0.094,0.809,640,360,1.052,0.297,0.52,0.205
CoverSong_360P-2b4d,0.0,0.096,0.061,480,360,1.338,0.142,0.254,0.515
CoverSong_360P-3218,0.247,0.094,0.172,640,360,1.5419999999999998,0.192,0.489,0.789
CoverSong_360P-4add,0.209,0.094,0.12,640,360,0.79,0.09,0.174,0.004
CoverSong_360P-53a6,0.053,0.094,0.114,640,360,1.5090000000000001,0.105,0.48,0.63
CoverSong_360P-59d1,0.41,0.10300000000000001,0.256,640,360,1.538,0.14,0.42700000000000005,0.08900000000000001
CoverSong_360P-5a24,0.040999999999999995,0.095,0.163,640,360,0.998,0.126,0.698,0.34
CoverSong_360P-5d20,0.09,0.132,0.142,480,360,0.521,0.212,0.402,1.031
CoverSong_360P-67ec,0.017,0.111,0.391,640,360,1.023,0.188,2.61,0.275
CoverSong_360P-69ef,0.052000000000000005,0.095,0.091,480,360,1.1540000000000001,0.114,0.446,0.451
CoverSong_360P-6d6a,0.098,0.094,0,640,360,0.903,0.196,0.301,0.452
CoverSong_360P-6da7,0.031,0.095,0.451,640,360,1.227,0.368,3.8160000000000003,0.48200000000000004
CoverSong_480P-0170,0.0,0.094,0,640,480,1.589,0.23399999999999999,0.366,0.027000000000000003
CoverSong_480P-1019,0.021,0.094,0.128,640,480,0.972,0.195,0.135,0.0
CoverSong_480P-1109,0.139,0.203,0.168,640,480,0.456,0.315,1.53,0.153
CoverSong_480P-2142,0.099,0.099,0,854,480,0.711,0.485,3.717,0.132
CoverSong_480P-2207,0.0,0.094,0.171,640,480,1.45,0.799,2.188,0.002
CoverSong_480P-2711,0.035,0.11,0.172,854,480,0.563,0.599,3.085,0.914
CoverSong_480P-2d2c,0.011000000000000001,0.094,0.284,640,480,1.141,0.449,0.237,0.0
CoverSong_480P-3076,0.0,0.094,0.95,640,480,0.616,0.581,0.172,1.0290000000000001
CoverSong_480P-35e1,0.131,0.094,0.185,640,480,2.349,0.267,0.5329999999999999,0.215
CoverSong_480P-3e4b,0.0,0.094,0,640,480,0.852,0.028999999999999998,0.134,0.071
CoverSong_480P-3e92,0.0,0.094,0.074,640,480,2.219,0.369,1.026,0.616
CoverSong_480P-3f3b,0.004,0.094,0.294,640,480,0.976,0.7040000000000001,2.0780000000000003,0.861
CoverSong_480P-41a5,0.005,0.094,0,640,480,0.758,0.032,0.109,0.519
CoverSong_480P-4d34,0.20199999999999999,0.094,0.141,640,480,1.274,0.1,0.509,0.914
CoverSong_480P-53f4,0.0,0.094,1,640,480,2.102,0.732,0.424,0.613
CoverSong_480P-59f2,0.003,0.094,0.173,720,480,1.101,0.067,0.444,0.22
CoverSong_480P-5b62,0.354,0.094,0.18,640,480,1.933,0.617,4.033,0.6859999999999999
CoverSong_480P-60a6,0.18600000000000003,0.126,0.134,640,480,1.517,0.1,0.547,1.415
CoverSong_480P-64d0,0.0,0.11,0,640,480,2.23,0.08,0.315,0.39899999999999997
CoverSong_480P-6c3e,0.084,0.094,0.125,720,480,1.5490000000000002,0.44799999999999995,1.001,0.354
CoverSong_480P-6c50,0.0,0.094,0.846,640,480,1.06,0.675,0.17,0.28800000000000003
CoverSong_480P-7443,0.073,0.094,0.31,640,480,1.062,0.363,0.534,0.6940000000000001
CoverSong_480P-7f6d,0.02,0.115,0,854,480,0.45399999999999996,0.337,3.1069999999999998,0.529
CoverSong_720P-014c,1.0,0.094,0.117,1280,720,0.987,0.047,0.172,0.0
CoverSong_720P-01a1,0.25,0.094,0.184,1280,720,1.151,0.593,0.198,0.517
CoverSong_720P-0239,0.321,0.094,0.346,1280,720,1.105,0.664,0.509,0.348
CoverSong_720P-05d6,0.018000000000000002,0.124,0,1280,720,2.474,0.28,8.225,0.55
CoverSong_720P-10f1,0.0,0.094,0.066,1280,720,4.675,0.41,5.272,0.542
CoverSong_720P-1393,0.794,0.145,0.145,1280,720,1.439,0.063,0.768,0.087
CoverSong_720P-2d05,0.703,0.094,[NULL],1280,720,2.6689999999999996,0.573,16.945999999999998,0.006
CoverSong_720P-3dca,0.039,0.094,0.465,1280,720,1.364,0.44799999999999995,6.474,0.5720000000000001
CoverSong_720P-4006,0.41600000000000004,0.094,0.12,1280,720,2.122,0.489,0.7559999999999999,0.363
CoverSong_720P-449f,0.0,0.094,[NULL],1280,720,1.966,0.203,0.256,0.584
CoverSong_720P-5689,0.0,0.109,0.088,960,720,2.331,0.568,1.2830000000000001,0.545
CoverSong_720P-5ba2,0.193,0.094,0.657,1280,720,0.7040000000000001,0.519,0.679,0.035
CoverSong_720P-60d3,0.004,0.094,0,1280,720,0.584,0.166,0.166,0.349
CoverSong_720P-6626,0.073,0.098,0.114,1280,720,0.43,0.268,0.149,0.0
CoverSong_720P-6ae4,0.057999999999999996,0.094,0.142,1280,720,0.44299999999999995,0.16,0.136,0.071
CoverSong_720P-6b8c,0.82,0.094,[NULL],1280,720,3.444,0.645,9.939,0.091
CoverSong_720P-6d6a,0.018000000000000002,0.094,0.176,1280,720,1.96,0.662,2.48,0.36700000000000005
CoverSong_720P-6d81,0.087,0.201,0.234,1280,720,0.565,0.384,0.21,0.192
CoverSong_720P-7360,0.40299999999999997,0.094,0.11,1280,720,0.644,0.209,0.45299999999999996,0.271
CoverSong_720P-7539,0.16899999999999998,0.095,0,1280,720,2.454,0.451,8.384,0.635
Gaming_1080P-0a5b,0.8270000000000001,0.095,0,1920,1080,3.537,0.355,7.6339999999999995,0.07400000000000001
Gaming_1080P-0ce6,0.0,0.098,0,1920,1080,2.6510000000000002,0.193,9.309,0.001
Gaming_1080P-0ef8,0.049,0.094,0.014,1920,1080,0.733,0.336,1.942,0.092
Gaming_1080P-12d4,0.0,0.094,0,1920,1080,4.1739999999999995,0.12,8.302,0.58
Gaming_1080P-13e3,0.065,0.094,0,1920,1080,1.0659999999999998,0.461,2.372,0.192
Gaming_1080P-1704,0.10800000000000001,0.094,0.083,1920,1080,2.773,0.361,7.085,0.165
Gaming_1080P-173a,0.215,0.19,0.023,1920,1080,1.341,0.311,0.24,0.027999999999999997
Gaming_1080P-190d,0.004,0.095,[NULL],1920,1080,1.212,0.33299999999999996,18.195999999999998,0.006999999999999999
Gaming_1080P-2221,1.0,0.094,[NULL],1920,1080,3.616,0.7759999999999999,1.619,0.16899999999999998
Gaming_1080P-223e,0.015,0.156,0.171,1920,1080,0.469,0.304,6.007000000000001,0.446
Gaming_1080P-26dc,0.065,0.09699999999999999,0,1920,1080,1.587,0.21,7.522,0.053
Gaming_1080P-277c,0.054000000000000006,0.094,0,1920,1080,3.111,0.066,9.196,0.44299999999999995
Gaming_1080P-2927,0.053,0.11599999999999999,0.106,1920,1080,1.138,0.154,6.091,0.431
Gaming_1080P-29b1,0.39,0.094,[NULL],1920,1080,2.458,0.046,2.427,0.188
Gaming_1080P-2e97,0.141,0.13699999999999998,0,1920,1080,1.317,0.264,6.112,0.207
Gaming_1080P-35fa,0.22899999999999998,0.095,0.093,1920,1080,0.9670000000000001,0.935,5.29,0.061
Gaming_1080P-3a9d,0.0,0.094,0,1920,1080,3.122,0.053,8.324,0.14400000000000002
Gaming_1080P-3bf7,0.031,0.126,0.134,1920,1080,0.7120000000000001,1.04,7.162000000000001,0.019
Gaming_1080P-3d58,0.039,0.094,0,1920,1080,2.8680000000000003,0.195,12.151,0.015
Gaming_1080P-44c4,0.135,0.142,0.155,1920,1080,1.444,0.5429999999999999,16.695999999999998,0.027999999999999997
Gaming_1080P-45af,0.08199999999999999,0.10400000000000001,0.019,1920,1080,1.692,0.192,7.931,0.285
Gaming_1080P-45fc,0.0,0.094,0.098,1920,1080,0.318,0.193,0.435,0.040999999999999995
Gaming_1080P-4865,0.105,0.095,0.089,1920,1080,1.3880000000000001,0.371,8.275,0.073
Gaming_1080P-51fc,0.18899999999999997,0.094,0.052,1920,1080,2.2359999999999998,0.163,6.404,0.099
Gaming_1080P-55ac,0.077,0.094,0,1920,1080,3.181,0.574,7.859,0.514
Gaming_1080P-564e,0.11699999999999999,0.095,0,1920,1080,2.648,0.235,10.606,0.171
Gaming_1080P-57ca,0.914,0.098,0.269,1920,1080,3.161,0.6729999999999999,19.227,0.16
Gaming_1080P-58ba,0.099,0.11900000000000001,0.076,1440,1080,0.522,0.503,2.019,0.225
Gaming_1080P-592a,0.015,0.095,0.021,1920,1080,1.4569999999999999,0.368,12.123,0.048
Gaming_1080P-5ae7,0.027000000000000003,0.188,0,1920,1080,0.612,0.9440000000000001,10.365,0.033
Gaming_1080P-6530,0.16,0.095,0,1920,1080,2.859,0.608,15.501,0.264
Gaming_1080P-6578,0.011000000000000001,0.094,0,1920,1080,3.7119999999999997,0.11800000000000001,10.265,0.431
Gaming_1080P-66d2,0.028999999999999998,0.094,0,1920,1080,3.391,0.105,10.06,0.552
Gaming_1080P-698a,0.0,0.094,0,1920,1080,4.102,0.096,10.14,0.35100000000000003
Gaming_1080P-6d53,0.064,0.094,0.154,1920,1080,2.7110000000000003,0.136,6.96,0.085
Gaming_1080P-6db2,0.6509999999999999,0.105,0.152,1920,1080,2.8489999999999998,0.22399999999999998,1.28,0.079
Gaming_1080P-6dc6,0.128,0.094,0.125,1920,1080,2.795,0.682,18.703,0.353
Gaming_1080P-6e45,0.0,0.094,0,1920,1080,2.369,0.233,0.436,0.466
Gaming_1080P-71a5,0.04,0.191,0.1,1920,1080,2.5789999999999997,0.5529999999999999,17.849,0.31
Gaming_1080P-72c8,0.121,0.094,0,1920,1080,2.74,0.557,4.792,0.27699999999999997
Gaming_1080P-777b,0.004,0.096,0,1920,1080,1.189,0.527,18.618,0.027000000000000003
Gaming_1080P-7a1e,0.249,0.102,0.035,1920,1080,1.952,0.156,5.959,0.29
Gaming_2160P-2436,0.0,0.095,0.077,3840,2160,0.51,0.55,1.194,0.6859999999999999
Gaming_2160P-28de,0.201,0.1,0,3840,2160,0.688,0.307,1.875,0.149
Gaming_2160P-2b92,0.165,0.094,0,4096,2160,0.581,0.273,1.006,0.086
Gaming_2160P-2cb1,0.195,0.154,0,3840,2160,1.274,0.507,4.302,0.147
Gaming_2160P-2dc4,0.07400000000000001,0.147,0.194,3840,2160,0.5720000000000001,0.384,3.6519999999999997,0.22399999999999998
Gaming_2160P-3002,0.096,0.122,0,3840,2160,0.33799999999999997,0.575,1.054,0.209
Gaming_2160P-31f6,0.045,0.41100000000000003,0,3840,2160,0.67,0.39299999999999996,6.12,0.35100000000000003
Gaming_2160P-348d,0.08800000000000001,0.094,0,3840,2160,0.516,0.205,4.11,0.145
Gaming_2160P-34a1,0.051,0.20199999999999999,0,3840,2160,0.19899999999999998,0.6459999999999999,1.31,0.16899999999999998
Gaming_2160P-387f,0.03,0.094,0,3840,2160,1.0190000000000001,0.10300000000000001,0.465,0.33899999999999997
Gaming_2160P-3a25,0.051,0.242,0.05,3840,2160,0.5660000000000001,0.192,5.0169999999999995,0.33399999999999996
Gaming_2160P-3aec,0.038,0.212,0,3840,2160,0.868,0.152,5.641,0.42100000000000004
Gaming_2160P-3ce4,0.002,0.22399999999999998,0,3840,2160,0.631,0.27,3.924,0.34
Gaming_2160P-4139,0.109,0.2,0,3840,2160,0.457,0.44299999999999995,6.331,0.42200000000000004
Gaming_2160P-416f,0.134,0.094,0,3840,2160,1.1640000000000001,0.624,3.176,0.12
Gaming_2160P-4258,0.024,0.09699999999999999,0.079,3840,2160,0.401,0.252,1.4669999999999999,0.597
Gaming_2160P-5c33,0.0,0.095,0.04,3840,2160,0.16899999999999998,0.435,0.153,0.457
Gaming_2160P-5c53,0.031,0.094,0.448,3840,2160,1.064,0.092,0.903,0.324
Gaming_2160P-673d,0.027999999999999997,0.098,0.077,3840,2160,0.561,0.11699999999999999,0.934,0.158
Gaming_2160P-67b0,0.075,0.099,0.002,3840,2160,0.765,0.375,1.47,0.083
Gaming_2160P-6bb6,0.087,0.193,0,3840,2160,0.625,0.243,3.011,0.158
Gaming_2160P-6cd8,0.028999999999999998,0.379,0.083,3840,2160,0.332,0.51,2.966,0.226
Gaming_2160P-7e80,0.055999999999999994,0.11199999999999999,0,3840,2160,0.047,0.14800000000000002,0.41,0.044000000000000004
Gaming_2160P-7ff0,0.054000000000000006,0.581,0.153,3840,2160,0.5710000000000001,0.385,8.467,0.287
Gaming_360P-043e,0.09699999999999999,0.094,0.377,450,360,2.323,0.094,1.81,0.18100000000000002
Gaming_360P-0b98,0.121,0.11199999999999999,0.011,640,360,1.158,0.48200000000000004,10.081,0.051
Gaming_360P-187a,0.0,0.094,[NULL],640,360,4.15,0.022000000000000002,1.128,0.539
Gaming_360P-2141,0.672,0.094,0.281,640,360,1.329,0.253,1.026,0.061
Gaming_360P-215f,0.033,0.094,0.118,640,360,0.787,0.321,1.4,0.297
Gaming_360P-2164,0.24,0.094,0.316,640,360,1.74,0.879,3.725,0.09699999999999999
Gaming_360P-21d2,0.465,0.095,0.326,480,360,0.8859999999999999,0.386,1.7180000000000002,0.21
Gaming_360P-2330,0.115,0.096,0.228,640,360,1.012,0.29,1.265,0.094
Gaming_360P-279f,0.006,0.098,0.082,640,360,0.6759999999999999,0.341,3.783,0.353
Gaming_360P-2f99,0.015,0.094,0.448,640,360,1.5919999999999999,0.539,5.907,0.24100000000000002
Gaming_360P-3794,0.43700000000000006,0.098,0.151,640,360,0.892,0.605,1.652,0.336
Gaming_360P-3a6b,0.142,0.094,0.14,640,360,1.6480000000000001,0.28,2.694,0.19399999999999998
Gaming_360P-3eb6,0.14300000000000002,0.094,0.257,640,360,2.21,0.429,13.802999999999999,0.196
Gaming_360P-48b0,0.10099999999999999,0.10300000000000001,0.921,480,360,1.214,0.308,7.355,0.311
Gaming_360P-4f09,0.125,0.095,0.136,640,360,1.819,0.297,4.169,0.424
Gaming_360P-5635,0.07200000000000001,0.509,0.125,640,360,0.275,0.39799999999999996,1.1740000000000002,0.188
Gaming_360P-56fe,0.045,0.11199999999999999,0.206,640,360,1.8530000000000002,0.425,5.652,0.337
Gaming_360P-586d,0.086,0.102,0.135,640,360,2.6060000000000003,0.174,7.832999999999999,0.615
Gaming_360P-5e0f,0.10800000000000001,0.094,0.104,464,360,2.065,0.133,2.156,0.55
Gaming_360P-6207,0.135,0.094,0.091,640,360,1.911,0.321,5.125,0.5770000000000001
Gaming_360P-63e6,0.021,0.18899999999999997,0.303,640,360,1.446,0.39,4.02,0.188
Gaming_360P-7007,0.14,0.095,0,640,360,1.285,0.24600000000000002,7.224,0.168
Gaming_360P-73c7,0.0,0.09699999999999999,0.045,640,360,1.463,0.22899999999999998,6.3,0.045
Gaming_360P-7975,0.065,0.094,0.973,640,360,1.636,0.257,11.16,0.321
Gaming_360P-7acb,0.002,0.172,0,640,360,0.679,0.519,6.584,0.018000000000000002
Gaming_480P-0109,0.109,0.105,0.09,640,480,0.775,0.309,1.364,0.185
Gaming_480P-062e,0.115,0.122,0.104,720,480,0.5529999999999999,0.35700000000000004,2.454,0.182
Gaming_480P-09ab,0.0,0.094,0,848,480,3.8689999999999998,0.608,10.082,0.632
Gaming_480P-0a03,0.039,0.094,0.131,720,480,2.365,0.64,7.775,0.193
Gaming_480P-0a30,0.39399999999999996,0.094,0.24,640,480,1.2690000000000001,0.644,1.486,0.434
Gaming_480P-0d23,0.157,0.094,0.098,640,480,3.236,0.7190000000000001,8.254,0.509
Gaming_480P-0dbc,0.633,0.094,0.213,720,480,2.6889999999999996,0.723,6.607,0.546
Gaming_480P-14fc,0.147,0.098,0.098,854,480,1.621,0.358,6.19,0.087
Gaming_480P-1542,0.048,0.095,0.211,854,480,1.726,0.502,6.184,0.156
Gaming_480P-20ca,0.035,0.094,0.61,720,480,1.776,0.703,8.644,0.28
Gaming_480P-3a44,0.047,0.098,0.125,720,480,2.339,0.431,13.595999999999998,0.616
