FILENAME;category;resolution;# subjects;MOS full;MOS chunk00;MOS chunk05;MOS chunk10;std full;std chunk00;std chunk05;std chunk10
Animation_1080P-6a33;Animation;1080;143;2.052;1.621;1.402;1.643;1.075;0.817;0.63;0.797
Animation_1080P-6ec0;Animation;1080;134;4.124;3.911;3.831;4.224;0.568;0.544;0.544;0.608
Animation_1080P-7f27;Animation;1080;144;4.195;4.385;4.411;4.256;0.644;0.496;0.482;0.608
Animation_2160P-41dc;Animation;2160;116;3.512;3.061;3.334;3.669;0.743;0.713;0.76;0.695
Animation_2160P-6f3b;Animation;2160;128;4.082;3.73;3.687;3.804;0.612;0.586;0.615;0.791
Animation_360P-08c9;Animation;360;112;3.652;3.516;3.716;3.509;0.456;0.493;0.519;0.561
Animation_360P-188f;Animation;360;125;3.702;3.409;3.663;3.595;0.458;0.556;0.531;0.495
Animation_360P-24d4;Animation;360;121;3.435;3.159;3.374;3.334;0.516;0.632;0.573;0.585
Animation_360P-3e40;Animation;360;140;2.353;2.239;1.896;1.962;0.928;0.649;0.747;0.81
Animation_360P-3e52;Animation;360;115;3.651;3.707;3.499;3.452;0.508;0.503;0.542;0.551
Animation_360P-47cc;Animation;360;133;3.282;3.181;3.299;3.066;0.671;0.634;0.601;0.677
Animation_360P-4b4c;Animation;360;130;3.003;3.02;2.964;2.931;0.816;0.585;0.668;0.616
Animation_360P-4edc;Animation;360;106;3.682;3.561;3.632;3.598;0.597;0.594;0.535;0.596
Animation_360P-5712;Animation;360;122;3.552;3.549;3.617;3.382;0.533;0.642;0.612;0.674
Animation_360P-5de0;Animation;360;117;3.429;3.216;3.374;3.332;0.523;0.587;0.519;0.535
Animation_360P-631c;Animation;360;108;2.236;2.056;2.019;1.891;0.689;0.574;0.56;0.598
Animation_360P-6355;Animation;360;114;3.126;2.535;2.699;2.85;0.604;0.601;0.703;0.563
Animation_360P-69e0;Animation;360;120;3.382;3.232;3.304;2.901;0.599;0.733;0.755;0.784
Animation_360P-7856;Animation;360;109;2.751;2.398;2.431;2.253;0.684;0.569;0.567;0.578
Animation_360P-794f;Animation;360;124;3.362;3.304;3.236;3.338;0.641;0.561;0.586;0.55
Animation_480P-0194;Animation;480;127;3.097;2.96;2.965;2.918;0.64;0.616;0.683;0.642
Animation_480P-046c;Animation;480;119;3.15;3.022;3.123;3.075;0.719;0.598;0.587;0.581
Animation_480P-0529;Animation;480;121;2.205;2.166;2.159;2.231;0.746;0.561;0.514;0.544
Animation_480P-073c;Animation;480;107;3.407;2.982;2.991;2.81;0.65;0.672;0.652;0.739
Animation_480P-087e;Animation;480;126;3.525;3.414;3.211;3.334;0.523;0.604;0.772;0.625
Animation_480P-08a5;Animation;480;104;3.42;3.163;3.444;3.473;0.625;0.709;0.718;0.555
Animation_480P-0d04;Animation;480;135;3.111;3.056;2.983;2.805;0.702;0.739;0.775;0.767
Animation_480P-1da7;Animation;480;106;3.183;2.912;2.959;3.228;0.679;0.744;0.752;0.726
Animation_480P-3281;Animation;480;123;3.211;3.01;3.067;3.032;0.623;0.624;0.692;0.624
Animation_480P-35ee;Animation;480;120;3.29;3.209;3.129;1.351;0.644;0.598;0.541;0.699
Animation_480P-3e06;Animation;480;123;2.994;2.818;3.331;3.297;0.598;0.566;0.587;0.603
Animation_480P-3fdf;Animation;480;106;3.465;3.35;3.256;3.107;0.545;0.601;0.69;0.583
Animation_480P-4b80;Animation;480;117;3.618;3.428;3.421;3.449;0.483;0.527;0.518;0.479
Animation_480P-4b86;Animation;480;131;3.495;3.286;3.153;3.153;0.535;0.54;0.578;0.66
Animation_480P-4e36;Animation;480;116;3.303;3.4;3.389;3.356;0.649;0.556;0.536;0.597
Animation_480P-52af;Animation;480;133;3.656;3.634;3.583;3.753;0.503;0.475;0.504;0.521
Animation_480P-66c0;Animation;480;125;3.453;3.492;3.482;3.298;0.538;0.604;0.594;0.578
Animation_480P-6e23;Animation;480;114;3.731;3.637;3.454;3.556;0.504;0.577;0.724;0.66
Animation_480P-6ef6;Animation;480;115;3.607;3.478;3.303;3.236;0.489;0.481;0.513;0.541
Animation_480P-6ff4;Animation;480;115;3.29;3.294;3.115;2.863;0.675;0.702;0.647;0.832
Animation_480P-70d4;Animation;480;120;3.848;3.9;3.793;3.624;0.524;0.469;0.462;0.514
Animation_480P-7114;Animation;480;120;3.653;3.557;3.522;3.607;0.46;0.453;0.467;0.468
Animation_480P-791b;Animation;480;137;3.286;3.067;3.119;3.034;0.591;0.624;0.677;0.653
Animation_480P-7a31;Animation;480;117;3.487;3.28;3.341;3.438;0.524;0.612;0.744;0.53
Animation_480P-7ef2;Animation;480;119;3.164;2.956;3.076;3.448;0.587;0.628;0.667;0.604
Animation_720P-0116;Animation;720;135;4.054;4.074;4.037;4.11;0.62;0.607;0.605;0.594
Animation_720P-01b3;Animation;720;112;3.638;3.448;3.282;3.238;0.589;0.567;0.706;0.677
Animation_720P-06a6;Animation;720;123;3.942;4.178;4.141;4.155;0.552;0.597;0.566;0.566
Animation_720P-0acc;Animation;720;122;3.876;3.771;3.881;3.886;0.501;0.597;0.521;0.5
Animation_720P-0c8f;Animation;720;114;3.409;3.388;3.635;3.596;0.519;0.539;0.46;0.499
Animation_720P-13b7;Animation;720;136;4.318;4.095;4.19;3.898;0.468;0.576;0.501;0.545
Animation_720P-1a6d;Animation;720;129;4.283;4.22;4.348;4.375;0.526;0.606;0.512;0.519
Animation_720P-2525;Animation;720;106;3.73;3.719;3.696;3.804;0.498;0.43;0.496;0.496
Animation_720P-26d2;Animation;720;132;3.14;3.018;2.999;3.125;0.627;0.619;0.632;0.681
Animation_720P-2abf;Animation;720;127;3.615;3.428;3.304;3.48;0.686;0.639;0.768;0.708
Animation_720P-31c9;Animation;720;129;4.351;4.195;4.207;4.188;0.56;0.532;0.604;0.598
Animation_720P-3adc;Animation;720;118;3.575;3.375;3.422;3.356;0.482;0.599;0.564;0.603
Animation_720P-412a;Animation;720;145;4.249;4.265;4.234;4.128;0.599;0.704;0.649;0.663
Animation_720P-41cf;Animation;720;131;3.862;3.993;3.862;4.075;0.464;0.658;0.602;0.636
Animation_720P-41d6;Animation;720;141;4.148;4.178;4.191;4.262;0.619;0.634;0.661;0.564
Animation_720P-4268;Animation;720;123;3.846;3.682;3.732;3.793;0.537;0.568;0.491;0.543
Animation_720P-431c;Animation;720;135;4.396;4.462;4.189;4.236;0.49;0.405;0.571;0.432
Animation_720P-4b17;Animation;720;128;4.074;4.115;4.195;4.141;0.461;0.566;0.614;0.564
Animation_720P-57d9;Animation;720;121;3.522;2.751;3.572;3.533;0.513;0.657;0.527;0.492
Animation_720P-5bfc;Animation;720;129;4.421;4.433;4.252;4.494;0.467;0.449;0.621;0.438
Animation_720P-620f;Animation;720;127;4.522;4.64;4.641;4.501;0.477;0.375;0.385;0.433
Animation_720P-6372;Animation;720;124;4.422;4.235;3.825;4.317;0.477;0.645;0.589;0.528
Animation_720P-79ee;Animation;720;152;2.197;1.968;2.006;2.072;0.911;0.643;0.63;0.524
Animation_720P-7b29;Animation;720;125;3.862;3.733;3.662;3.826;0.477;0.583;0.5;0.507
Animation_720P-7e7d;Animation;720;114;3.589;3.234;3.236;3.36;0.63;0.769;0.867;0.816
Animation_720P-7ff2;Animation;720;136;4.124;4.156;3.866;3.904;0.627;0.616;0.581;0.581
CoverSong_1080P-0188;CoverSong;1080;138;2.383;2.205;2.224;2.284;1.096;1.122;1.079;1.088
CoverSong_1080P-033d;CoverSong;1080;127;4.433;4.401;4.532;4.478;0.468;0.471;0.41;0.463
CoverSong_1080P-0a86;CoverSong;1080;137;4.228;4.275;4.05;4.103;0.447;0.46;0.535;0.597
CoverSong_1080P-0cdc;CoverSong;1080;135;2.741;2.317;2.348;2.381;0.695;0.522;0.506;0.527
CoverSong_1080P-0f33;CoverSong;1080;120;3.221;3.18;3.014;3.036;0.494;0.468;0.652;0.648
CoverSong_1080P-0f3a;CoverSong;1080;130;4.358;4.438;4.394;4.467;0.478;0.405;0.474;0.399
CoverSong_1080P-1963;CoverSong;1080;126;3.882;3.756;3.6;3.453;0.539;0.525;0.54;0.639
CoverSong_1080P-1b08;CoverSong;1080;103;3.812;3.712;3.692;3.67;0.481;0.439;0.448;0.484
CoverSong_1080P-1b0c;CoverSong;1080;129;3.763;3.753;3.673;3.707;0.496;0.449;0.46;0.469
CoverSong_1080P-2207;CoverSong;1080;119;3.675;3.611;4.086;4.079;0.511;0.514;0.602;0.59
CoverSong_1080P-237f;CoverSong;1080;132;3.893;3.709;3.613;4.134;0.538;0.511;0.489;0.637
CoverSong_1080P-3409;CoverSong;1080;133;4.331;4.295;4.278;4.334;0.489;0.467;0.564;0.492
CoverSong_1080P-3499;CoverSong;1080;105;4.193;4.198;4.299;4.345;0.386;0.577;0.493;0.471
CoverSong_1080P-3aac;CoverSong;1080;112;3.381;3.531;3.296;3.336;0.489;0.534;0.465;0.503
CoverSong_1080P-3df8;CoverSong;1080;124;3.827;3.701;3.718;3.809;0.507;0.491;0.445;0.465
CoverSong_1080P-4bad;CoverSong;1080;136;4.298;4.367;4.428;4.361;0.458;0.504;0.445;0.515
CoverSong_1080P-5430;CoverSong;1080;137;3.969;3.744;4.032;4.217;0.477;0.484;0.599;0.575
CoverSong_1080P-5456;CoverSong;1080;112;3.736;3.829;3.778;3.762;0.445;0.51;0.541;0.523
CoverSong_1080P-5cae;CoverSong;1080;117;3.209;3.141;3.2;3.245;0.662;0.64;0.495;0.543
CoverSong_1080P-5e69;CoverSong;1080;124;3.29;3.449;3.389;3.352;0.507;0.554;0.503;0.487
CoverSong_1080P-5f92;CoverSong;1080;104;4.043;4.284;4.24;4.245;0.489;0.467;0.521;0.451
CoverSong_1080P-6f26;CoverSong;1080;137;4.288;4.328;4.151;4.116;0.487;0.488;0.591;0.584
CoverSong_360P-0a9d;CoverSong;360;130;2.538;2.284;2.218;2.224;0.752;0.521;0.461;0.466
CoverSong_360P-0aa2;CoverSong;360;123;2.511;2.368;2.26;2.306;0.572;0.495;0.459;0.432
CoverSong_360P-11f9;CoverSong;360;120;2.79;2.533;2.664;2.612;0.55;0.51;0.535;0.542
CoverSong_360P-130a;CoverSong;360;115;3.449;3.386;3.416;3.338;0.509;0.483;0.486;0.397
CoverSong_360P-13d2;CoverSong;360;104;2.578;2.395;2.32;2.439;0.667;0.471;0.483;0.453
CoverSong_360P-14b9;CoverSong;360;114;2.633;2.429;2.506;2.539;0.578;0.446;0.43;0.471
CoverSong_360P-1b2b;CoverSong;360;116;3.409;3.127;3.218;3.034;0.571;0.479;0.516;0.605
CoverSong_360P-2146;CoverSong;360;128;2.273;2.209;2.226;2.256;0.676;0.414;0.426;0.447
CoverSong_360P-2b4d;CoverSong;360;125;2.796;2.673;2.807;2.657;0.533;0.429;0.594;0.434
CoverSong_360P-3218;CoverSong;360;129;2.427;2.153;2.247;2.35;0.712;0.503;0.493;0.499
CoverSong_360P-4add;CoverSong;360;128;2.855;2.649;2.761;2.657;0.621;0.515;0.529;0.5
CoverSong_360P-53a6;CoverSong;360;127;3.235;3.229;3.115;2.936;0.506;0.52;0.537;0.646
CoverSong_360P-59d1;CoverSong;360;126;2.828;2.363;2.417;2.241;0.667;0.436;0.548;0.438
CoverSong_360P-5a24;CoverSong;360;114;2.789;2.582;2.743;2.909;0.656;0.489;0.487;0.614
CoverSong_360P-5d20;CoverSong;360;119;2.943;2.56;2.658;2.514;0.642;0.475;0.48;0.465
CoverSong_360P-67ec;CoverSong;360;117;2.404;2.213;2.782;2.871;0.581;0.519;0.534;0.508
CoverSong_360P-69ef;CoverSong;360;118;3.145;2.974;3.148;2.972;0.609;0.589;0.495;0.597
CoverSong_360P-6d6a;CoverSong;360;104;3.273;3.225;3.182;3.281;0.58;0.468;0.447;0.514
CoverSong_360P-6da7;CoverSong;360;120;2.763;2.648;2.638;2.605;0.61;0.464;0.457;0.509
CoverSong_480P-0170;CoverSong;480;109;3.118;2.821;2.608;2.74;0.569;0.639;0.488;0.572
CoverSong_480P-1019;CoverSong;480;115;3.815;3.54;3.683;3.468;0.43;0.429;0.468;0.496
CoverSong_480P-1109;CoverSong;480;114;2.826;2.642;2.487;2.169;0.614;0.56;0.522;0.508
CoverSong_480P-2142;CoverSong;480;119;3.25;3.192;3.08;3.057;0.532;0.504;0.451;0.614
CoverSong_480P-2207;CoverSong;480;125;2.934;2.935;2.931;2.945;0.782;0.729;0.737;0.751
CoverSong_480P-2711;CoverSong;480;138;2.514;1.885;2.492;2.617;0.698;0.697;0.506;0.504
CoverSong_480P-2d2c;CoverSong;480;123;3.837;3.777;3.673;3.643;0.485;0.465;0.438;0.473
CoverSong_480P-3076;CoverSong;480;127;1.71;1.41;1.407;1.388;0.779;0.42;0.454;0.451
CoverSong_480P-35e1;CoverSong;480;104;3.608;3.399;3.474;3.351;0.522;0.508;0.535;0.476
CoverSong_480P-3e4b;CoverSong;480;132;2.877;2.463;2.493;2.416;0.694;0.635;0.626;0.609
CoverSong_480P-3e92;CoverSong;480;139;4.235;4.277;4.174;4.259;0.35;0.457;0.526;0.456
CoverSong_480P-3f3b;CoverSong;480;120;3.028;2.575;2.467;2.658;0.657;0.489;0.483;0.485
CoverSong_480P-41a5;CoverSong;480;112;3.27;3.277;3.263;3.373;0.456;0.468;0.572;0.454
CoverSong_480P-4d34;CoverSong;480;113;2.677;2.498;2.526;2.479;0.67;0.424;0.485;0.503
CoverSong_480P-53f4;CoverSong;480;118;3.169;3.115;3.092;3.058;0.483;0.49;0.448;0.49
CoverSong_480P-59f2;CoverSong;480;121;3.418;3.321;3.215;3.468;0.517;0.559;0.553;0.486
CoverSong_480P-5b62;CoverSong;480;135;3.056;2.791;2.727;2.779;0.617;0.556;0.511;0.506
CoverSong_480P-60a6;CoverSong;480;113;2.369;2.532;2.551;2.562;0.457;0.534;0.584;0.524
CoverSong_480P-64d0;CoverSong;480;131;3.917;3.78;3.783;3.773;0.471;0.501;0.481;0.386
CoverSong_480P-6c3e;CoverSong;480;115;2.502;2.034;1.93;2.011;0.763;0.687;0.548;0.622
CoverSong_480P-6c50;CoverSong;480;107;2.729;2.834;2.674;2.758;0.538;0.557;0.515;0.563
CoverSong_480P-7443;CoverSong;480;115;3.65;3.528;3.489;3.549;0.531;0.49;0.525;0.494
CoverSong_480P-7f6d;CoverSong;480;131;3.048;2.996;2.92;2.957;0.619;0.492;0.618;0.574
CoverSong_720P-014c;CoverSong;720;120;2.618;2.314;2.39;2.382;0.66;0.457;0.638;0.553
CoverSong_720P-01a1;CoverSong;720;122;3.713;3.547;3.544;3.542;0.512;0.475;0.439;0.518
CoverSong_720P-0239;CoverSong;720;112;2.52;2.481;2.378;2.365;0.6;0.563;0.53;0.534
CoverSong_720P-05d6;CoverSong;720;114;3.744;3.644;3.516;3.358;0.424;0.502;0.569;0.595
CoverSong_720P-10f1;CoverSong;720;118;2.805;2.906;2.763;2.417;0.787;0.799;0.847;1.037
CoverSong_720P-1393;CoverSong;720;116;4.059;3.88;3.879;3.846;0.427;0.468;0.482;0.478
CoverSong_720P-1928;CoverSong;720;124;3.423;3.295;3.208;3.202;0.521;0.466;0.485;0.574
CoverSong_720P-2d05;CoverSong;720;119;3.224;3.051;2.948;3.353;0.643;0.61;0.646;0.539
CoverSong_720P-3261;CoverSong;720;115;3.942;3.799;3.529;3.685;0.475;0.509;0.486;0.445
CoverSong_720P-3dca;CoverSong;720;114;3.412;2.812;3.234;3.493;0.502;0.618;0.514;0.454
CoverSong_720P-4006;CoverSong;720;118;3.414;3.354;3.362;3.418;0.534;0.477;0.562;0.436
CoverSong_720P-449f;CoverSong;720;108;3.496;3.498;3.422;3.361;0.525;0.574;0.5;0.475
CoverSong_720P-5689;CoverSong;720;133;2.317;2.361;2.312;2.299;1.027;1.002;1.063;0.969
CoverSong_720P-5ba2;CoverSong;720;128;2.834;2.804;2.764;2.905;0.605;0.618;0.543;0.561
CoverSong_720P-60d3;CoverSong;720;134;2.991;2.794;2.788;2.8;0.577;0.492;0.462;0.471
CoverSong_720P-6626;CoverSong;720;123;3.316;2.952;3.039;3.155;0.479;0.588;0.58;0.53
CoverSong_720P-6ae4;CoverSong;720;118;3.769;3.812;3.914;4.034;0.483;0.44;0.491;0.404
CoverSong_720P-6b8c;CoverSong;720;123;2.988;2.667;2.792;2.899;0.665;0.559;0.665;0.66
CoverSong_720P-6d6a;CoverSong;720;115;3.52;3.312;3.412;3.305;0.549;0.546;0.496;0.503
CoverSong_720P-6d81;CoverSong;720;120;3.145;2.994;3.073;2.924;0.576;0.615;0.553;0.499
CoverSong_720P-7360;CoverSong;720;132;2.798;2.682;2.502;2.521;0.639;0.5;0.476;0.49
CoverSong_720P-7539;CoverSong;720;145;2.348;1.781;1.912;2.665;0.936;0.771;0.835;0.824
CoverSong_720P-799b;CoverSong;720;132;3.807;3.902;3.83;3.797;0.438;0.351;0.441;0.42
Gaming_1080P-0219;Gaming;1080;112;3.513;3.458;3.569;3.566;0.56;0.564;0.515;0.541
Gaming_1080P-0a5b;Gaming;1080;121;3.556;3.345;3.185;3.325;0.632;0.794;0.827;0.815
Gaming_1080P-0ce6;Gaming;1080;111;3.968;3.959;4.226;3.963;0.533;0.576;0.567;0.549
Gaming_1080P-0ef8;Gaming;1080;108;3.781;4.025;3.791;3.663;0.481;0.613;0.457;0.564
Gaming_1080P-12d4;Gaming;1080;134;4.494;4.422;4.354;4.122;0.449;0.479;0.543;0.699
Gaming_1080P-13e3;Gaming;1080;126;4.434;4.513;4.504;4.535;0.46;0.413;0.467;0.409
Gaming_1080P-1704;Gaming;1080;140;4.295;4.274;4.061;4.2;0.637;0.503;0.553;0.508
Gaming_1080P-173a;Gaming;1080;115;3.013;2.968;3.306;3.124;0.7;0.779;0.767;0.718
Gaming_1080P-18b8;Gaming;1080;113;3.165;3.472;3.521;3.485;0.67;0.541;0.543;0.544
Gaming_1080P-190d;Gaming;1080;125;3.898;3.745;3.958;3.689;0.557;0.518;0.603;0.531
Gaming_1080P-1f29;Gaming;1080;113;3.298;3.45;3.593;3.529;0.539;0.624;0.532;0.529
Gaming_1080P-2221;Gaming;1080;124;4.239;4.183;4.192;4.142;0.563;0.605;0.588;0.565
Gaming_1080P-223e;Gaming;1080;137;4.283;4.207;4.461;4.34;0.493;0.358;0.433;0.524
Gaming_1080P-26dc;Gaming;1080;130;3.541;3.303;3.431;3.702;0.811;0.893;0.769;0.661
Gaming_1080P-2768;Gaming;1080;108;3.466;3.58;3.385;3.351;0.544;0.585;0.496;0.568
Gaming_1080P-277c;Gaming;1080;122;3.884;3.957;3.704;3.867;0.523;0.699;0.563;0.604
Gaming_1080P-2927;Gaming;1080;135;4.441;4.485;4.503;4.51;0.44;0.479;0.414;0.459
Gaming_1080P-29b1;Gaming;1080;124;3.829;4.222;3.94;3.488;0.498;0.62;0.568;0.63
Gaming_1080P-2e97;Gaming;1080;133;4.391;4.327;4.29;4.271;0.487;0.48;0.489;0.478
Gaming_1080P-35fa;Gaming;1080;117;3.035;2.895;2.852;2.59;0.637;0.672;0.693;0.697
Gaming_1080P-3a9d;Gaming;1080;116;3.872;3.969;4.086;4.012;0.553;0.528;0.585;0.61
Gaming_1080P-3bf7;Gaming;1080;130;3.245;2.845;2.838;2.946;0.763;0.663;0.678;0.679
Gaming_1080P-3d58;Gaming;1080;124;3.782;3.805;3.906;4.042;0.47;0.595;0.577;0.583
Gaming_1080P-4047;Gaming;1080;115;3.099;3.301;3.447;3.705;0.672;0.612;0.553;0.533
Gaming_1080P-44c4;Gaming;1080;129;3.839;3.73;3.758;3.798;0.657;0.585;0.578;0.58
Gaming_1080P-45af;Gaming;1080;138;4.373;4.499;4.488;4.353;0.486;0.396;0.401;0.429
Gaming_1080P-45fc;Gaming;1080;124;3.695;3.502;3.628;3.833;0.624;0.629;0.586;0.579
Gaming_1080P-4865;Gaming;1080;132;4.355;4.313;4.321;4.114;0.48;0.534;0.491;0.5
Gaming_1080P-51fc;Gaming;1080;114;4.377;4.312;4.386;4.213;0.531;0.497;0.494;0.575
Gaming_1080P-55ac;Gaming;1080;140;4.448;4.499;4.528;4.454;0.52;0.444;0.404;0.401
Gaming_1080P-5608;Gaming;1080;135;4.067;3.845;3.88;3.957;0.576;0.512;0.505;0.497
Gaming_1080P-564e;Gaming;1080;120;4.322;4.24;4.255;4.338;0.525;0.375;0.521;0.465
Gaming_1080P-57ca;Gaming;1080;136;4.409;4.252;4.443;4.37;0.505;0.629;0.565;0.525
Gaming_1080P-58ba;Gaming;1080;115;3.952;3.84;3.862;3.679;0.456;0.486;0.439;0.395
Gaming_1080P-592a;Gaming;1080;119;3.964;4.187;4.078;3.542;0.592;0.581;0.645;0.714
Gaming_1080P-593f;Gaming;1080;116;3.409;3.536;3.433;3.618;0.589;0.565;0.567;0.596
Gaming_1080P-5ae7;Gaming;1080;110;3.328;3.466;2.805;2.718;0.701;0.706;0.72;0.742
Gaming_1080P-6530;Gaming;1080;115;3.92;4.126;3.29;3.348;0.475;0.647;0.706;0.642
Gaming_1080P-6578;Gaming;1080;154;4.399;4.427;4.43;4.421;0.504;0.432;0.469;0.454
Gaming_1080P-66d2;Gaming;1080;129;4.142;4.179;4.249;3.989;0.628;0.624;0.59;0.602
Gaming_1080P-698a;Gaming;1080;118;3.743;3.799;3.618;3.625;0.579;0.561;0.557;0.562
Gaming_1080P-6a78;Gaming;1080;105;4.148;3.952;4.294;4.208;0.473;0.512;0.439;0.558
Gaming_1080P-6d53;Gaming;1080;118;3.821;4.021;4.156;4.14;0.552;0.503;0.603;0.591
Gaming_1080P-6db2;Gaming;1080;118;3.475;3.203;3.302;3.144;0.741;0.796;0.779;0.735
Gaming_1080P-6dc6;Gaming;1080;111;4.602;4.424;4.408;4.444;0.401;0.437;0.456;0.492
Gaming_1080P-6e45;Gaming;1080;118;2.517;2.333;2.155;2.227;1.047;0.923;0.879;0.95
Gaming_1080P-71a5;Gaming;1080;114;4.482;4.629;4.557;4.511;0.477;0.377;0.413;0.423
Gaming_1080P-72c8;Gaming;1080;119;4.366;4.408;4.412;4.509;0.503;0.393;0.446;0.398
Gaming_1080P-777b;Gaming;1080;129;4.05;3.757;4.085;3.999;0.635;0.534;0.657;0.724
Gaming_1080P-7a1e;Gaming;1080;116;4.024;3.948;3.942;4.134;0.504;0.602;0.564;0.633
Gaming_2160P-2436;Gaming;2160;135;4.473;4.592;4.545;4.519;0.571;0.452;0.465;0.531
Gaming_2160P-28de;Gaming;2160;154;4.349;4.581;4.488;4.466;0.609;0.433;0.489;0.563
Gaming_2160P-2b92;Gaming;2160;114;3.632;3.42;3.411;3.495;0.615;0.627;0.609;0.588
Gaming_2160P-2cb1;Gaming;2160;129;4.481;4.544;4.575;4.463;0.517;0.468;0.449;0.487
Gaming_2160P-2dc4;Gaming;2160;111;4.383;4.438;4.618;4.471;0.664;0.627;0.443;0.547
Gaming_2160P-3002;Gaming;2160;108;4.337;4.363;4.266;4.327;0.485;0.467;0.629;0.482
Gaming_2160P-31f6;Gaming;2160;133;4.311;4.317;4.263;4.316;0.517;0.469;0.578;0.615
Gaming_2160P-348d;Gaming;2160;129;4.443;4.387;4.367;4.374;0.469;0.452;0.499;0.504
Gaming_2160P-34a1;Gaming;2160;132;4.414;4.538;4.365;4.447;0.502;0.444;0.536;0.477
Gaming_2160P-387f;Gaming;2160;115;4.513;4.44;4.514;4.49;0.447;0.507;0.435;0.485
Gaming_2160P-3a25;Gaming;2160;127;4.502;4.514;4.601;4.539;0.443;0.449;0.44;0.54
Gaming_2160P-3aec;Gaming;2160;132;4.646;4.561;4.392;4.456;0.386;0.45;0.62;0.477
Gaming_2160P-3ce4;Gaming;2160;119;4.529;4.418;4.494;4.465;0.466;0.518;0.52;0.503
Gaming_2160P-4139;Gaming;2160;107;3.923;3.419;3.391;3.947;0.597;0.795;0.785;0.702
Gaming_2160P-416f;Gaming;2160;133;4.332;4.409;4.327;4.395;0.595;0.465;0.548;0.494
Gaming_2160P-4258;Gaming;2160;130;4.067;3.821;3.816;4.149;0.662;0.653;0.702;0.691
Gaming_2160P-5c33;Gaming;2160;115;2.834;2.527;2.891;2.375;0.913;0.837;0.762;0.898
Gaming_2160P-5c53;Gaming;2160;140;4.309;4.351;4.311;4.357;0.6;0.611;0.574;0.593
Gaming_2160P-5f40;Gaming;2160;112;3.734;3.648;4.04;3.858;0.537;0.546;0.633;0.486
Gaming_2160P-673d;Gaming;2160;148;4.165;4.248;4.024;4.209;0.564;0.552;0.495;0.585
Gaming_2160P-67b0;Gaming;2160;136;4.204;4.223;4.411;4.315;0.607;0.619;0.537;0.648
Gaming_2160P-6bb6;Gaming;2160;131;4.537;4.534;4.615;4.536;0.473;0.426;0.388;0.444
Gaming_2160P-6cd8;Gaming;2160;143;4.31;4.214;4.285;4.556;0.589;0.554;0.571;0.423
Gaming_2160P-7a5f;Gaming;2160;142;4.395;4.483;4.374;4.558;0.524;0.572;0.585;0.483
Gaming_2160P-7e80;Gaming;2160;117;4.108;3.9;4.241;4.043;0.46;0.562;0.602;0.461
Gaming_2160P-7ff0;Gaming;2160;133;4.238;4.384;4.189;4.19;0.604;0.51;0.606;0.663
Gaming_360P-043e;Gaming;360;106;2.582;2.439;2.401;2.329;0.605;0.657;0.595;0.607
