FILENAME,category,resolution,# subjects,MOS full,MOS chunk00,MOS chunk05,MOS chunk10,std full,std chunk00,std chunk05,std chunk10,SLEEQ_DMOS,BANDING_DMOS,NOISE_DMOS,WIDTH,HEIGHT,SPATIAL_COMPLEXITY,TEMPORAL_COMPLEXITY,CHUNK_COMPLEXITY_VARIATION,COLOR_COMPLEXITY
Animation_1080P-4214,Animation,1080,119,3.51,3.3789999999999996,3.3680000000000003,3.415,0.7509999999999999,0.863,0.872,0.83,0.126,0.094,0,1920.0,1080.0,1.985,0.026000000000000002,2.182,0.019
Animation_1080P-4609,Animation,1080,126,4.698,4.811,4.776,4.758,0.364,0.284,0.322,0.34700000000000003,,,,,,,,,
Animation_1080P-4be3,Animation,1080,124,3.565,3.457,3.716,3.4730000000000003,0.49700000000000005,0.598,0.5920000000000001,0.517,0.035,0.094,0,1920.0,1080.0,1.7930000000000001,0.696,0.845,0.6509999999999999
Animation_1080P-4ea8,Animation,1080,139,4.121,4.314,3.835,3.61,0.625,0.509,0.522,0.586,0.055999999999999994,0.16699999999999998,0.467,1920.0,1080.0,1.055,0.7290000000000001,17.421,0.157
Animation_1080P-5083,Animation,1080,111,3.252,2.383,2.412,2.394,0.778,0.983,0.991,1.0070000000000001,0.0,0.094,0,1920.0,1080.0,0.136,0.679,0.055,1.073
Animation_1080P-58d3,Animation,1080,148,4.243,4.4510000000000005,3.9930000000000003,4.056,0.556,0.45899999999999996,0.504,0.542,0.0,0.636,0.078,1920.0,1080.0,0.239,0.581,6.667000000000001,0.051
Animation_1080P-5dd8,Animation,1080,115,3.958,3.946,4.006,4.2330000000000005,0.562,0.552,0.62,0.494,0.0,0.475,0.039,1920.0,1080.0,0.40700000000000003,0.046,0.257,0.083
Animation_1080P-5f3b,Animation,1080,134,4.243,4.444,4.413,4.55,0.7190000000000001,0.525,0.612,0.47100000000000003,,,,,,,,,
Animation_1080P-646f,Animation,1080,143,3.3760000000000003,3.248,3.228,3.383,0.7090000000000001,0.698,0.736,0.7609999999999999,0.132,0.094,[NULL],1920.0,1080.0,2.471,0.021,0.35200000000000004,0.18600000000000003
Animation_1080P-66ba,Animation,1080,118,3.0810000000000004,2.873,2.89,3.075,0.653,0.695,0.684,0.6659999999999999,0.0,0.094,0,1440.0,1080.0,0.044000000000000004,0.669,0.235,0.0
Animation_1080P-6a33,Animation,1080,143,2.052,1.621,1.402,1.643,1.075,0.8170000000000001,0.63,0.797,0.012,0.42200000000000004,0,1920.0,1080.0,0.091,1.286,2.931,0.0
Animation_1080P-6ec0,Animation,1080,134,4.124,3.911,3.8310000000000004,4.224,0.568,0.544,0.544,0.608,0.02,0.319,0.091,1920.0,1080.0,0.505,0.377,7.327000000000001,0.127
Animation_1080P-7f27,Animation,1080,144,4.195,4.385,4.4110000000000005,4.256,0.644,0.496,0.48200000000000004,0.608,0.0,0.094,0,1920.0,1080.0,0.057999999999999996,0.371,0.264,0.048
Animation_2160P-41dc,Animation,2160,116,3.512,3.0610000000000004,3.3339999999999996,3.6689999999999996,0.743,0.713,0.76,0.695,0.008,0.10400000000000001,0.094,3840.0,2160.0,2.423,0.376,16.159000000000002,0.6559999999999999
Animation_2160P-6f3b,Animation,2160,128,4.082,3.73,3.687,3.804,0.612,0.586,0.615,0.7909999999999999,0.295,0.41100000000000003,0,3032.0,2304.0,0.138,0.725,2.214,0.261
Animation_360P-08c9,Animation,360,112,3.6519999999999997,3.516,3.716,3.509,0.456,0.493,0.519,0.561,0.03,0.228,0.103,640.0,360.0,0.99,0.257,3.2510000000000003,0.171
Animation_360P-188f,Animation,360,125,3.702,3.409,3.6630000000000003,3.595,0.45799999999999996,0.556,0.531,0.495,0.0,0.441,0.009,640.0,360.0,0.434,0.465,4.22,0.5720000000000001
Animation_360P-24d4,Animation,360,121,3.435,3.159,3.3739999999999997,3.3339999999999996,0.516,0.632,0.573,0.585,0.0,0.129,0.134,480.0,360.0,2.01,0.16899999999999998,6.707000000000001,0.151
Animation_360P-3e40,Animation,360,140,2.353,2.239,1.896,1.962,0.9279999999999999,0.649,0.747,0.81,0.015,0.349,0.147,640.0,360.0,1.0290000000000001,0.242,4.022,0.019
Animation_360P-3e52,Animation,360,115,3.6510000000000002,3.707,3.4989999999999997,3.452,0.508,0.503,0.542,0.551,0.059000000000000004,0.113,0.168,640.0,360.0,0.622,0.157,3.162,0.083
Animation_360P-47cc,Animation,360,133,3.282,3.181,3.299,3.0660000000000003,0.6709999999999999,0.634,0.601,0.677,0.209,0.094,[NULL],640.0,360.0,1.294,0.17300000000000001,5.706,0.054000000000000006
Animation_360P-4b4c,Animation,360,130,3.003,3.02,2.964,2.931,0.816,0.585,0.6679999999999999,0.616,0.0,0.094,0,640.0,360.0,0.079,0.044000000000000004,0.04,0.092
Animation_360P-4edc,Animation,360,106,3.682,3.5610000000000004,3.6319999999999997,3.5980000000000003,0.597,0.594,0.535,0.596,0.146,0.19899999999999998,0,640.0,360.0,1.148,0.41200000000000003,7.822,0.41
Animation_360P-5712,Animation,360,122,3.552,3.549,3.617,3.3819999999999997,0.5329999999999999,0.642,0.612,0.674,0.017,0.18600000000000003,[NULL],640.0,360.0,1.0590000000000002,0.168,4.354,0.28300000000000003
Animation_360P-5de0,Animation,360,117,3.429,3.216,3.3739999999999997,3.332,0.523,0.5870000000000001,0.519,0.535,0.040999999999999995,0.187,0.086,640.0,360.0,0.855,0.319,4.345,0.155
Animation_360P-631c,Animation,360,108,2.2359999999999998,2.056,2.019,1.891,0.6890000000000001,0.574,0.56,0.598,0.0,0.391,0.148,640.0,360.0,2.116,0.092,3.386,0.703
Animation_360P-6355,Animation,360,114,3.1260000000000003,2.535,2.699,2.85,0.604,0.601,0.703,0.563,,,,,,,,,
Animation_360P-69e0,Animation,360,120,3.3819999999999997,3.2319999999999998,3.304,2.9010000000000002,0.599,0.733,0.755,0.784,0.092,0.122,0.435,640.0,360.0,1.037,0.262,3.8960000000000004,0.106
Animation_360P-7856,Animation,360,109,2.7510000000000003,2.398,2.431,2.253,0.684,0.569,0.5670000000000001,0.578,0.0,0.094,0,640.0,360.0,0.905,0.003,0.055999999999999994,0.149
Animation_360P-794f,Animation,360,124,3.362,3.304,3.236,3.338,0.6409999999999999,0.561,0.586,0.55,0.0,0.11599999999999999,0.131,640.0,360.0,0.951,0.441,6.712999999999999,0.609
Animation_480P-0194,Animation,480,127,3.097,2.96,2.965,2.918,0.64,0.616,0.6829999999999999,0.642,,,,,,,,,
Animation_480P-046c,Animation,480,119,3.15,3.022,3.123,3.075,0.7190000000000001,0.598,0.5870000000000001,0.581,0.09,0.133,0.181,640.0,480.0,0.8590000000000001,0.397,7.273,0.493
Animation_480P-0529,Animation,480,121,2.205,2.166,2.1590000000000003,2.231,0.746,0.561,0.514,0.544,0.0,0.14300000000000002,0.26,640.0,480.0,1.074,0.044000000000000004,0.8270000000000001,0.08199999999999999
Animation_480P-073c,Animation,480,107,3.407,2.9819999999999998,2.991,2.81,0.65,0.672,0.652,0.7390000000000001,0.092,0.866,0.081,640.0,480.0,0.41200000000000003,0.616,3.55,0.0
Animation_480P-087e,Animation,480,126,3.525,3.4139999999999997,3.2110000000000003,3.3339999999999996,0.523,0.604,0.772,0.625,0.0,0.225,0.149,720.0,480.0,0.409,0.33899999999999997,1.744,0.025
Animation_480P-08a5,Animation,480,104,3.42,3.1630000000000003,3.444,3.4730000000000003,0.625,0.7090000000000001,0.718,0.555,0.062,0.111,0,640.0,480.0,2.685,0.312,15.224,0.6940000000000001
Animation_480P-0d04,Animation,480,135,3.111,3.056,2.983,2.805,0.7020000000000001,0.7390000000000001,0.775,0.767,0.0,0.13699999999999998,0,856.0,480.0,0.166,0.311,1.368,0.17
Animation_480P-1da7,Animation,480,106,3.1830000000000003,2.912,2.9589999999999996,3.228,0.679,0.7440000000000001,0.752,0.726,0.045,0.11900000000000001,0.098,928.0,480.0,1.591,0.152,5.3229999999999995,0.348
Animation_480P-3281,Animation,480,123,3.2110000000000003,3.01,3.0669999999999997,3.032,0.623,0.624,0.6920000000000001,0.624,,,,,,,,,
Animation_480P-35ee,Animation,480,120,3.29,3.2089999999999996,3.1289999999999996,1.351,0.644,0.598,0.541,0.6990000000000001,0.0,0.094,0,720.0,480.0,0.083,0.575,1.416,0.0
Animation_480P-3e06,Animation,480,123,2.9939999999999998,2.818,3.3310000000000004,3.2969999999999997,0.598,0.5660000000000001,0.5870000000000001,0.603,0.0,0.094,0.045,640.0,480.0,0.298,0.023,0.447,0.17600000000000002
Animation_480P-3fdf,Animation,480,106,3.465,3.35,3.2560000000000002,3.1069999999999998,0.545,0.601,0.69,0.583,0.008,0.094,0.188,640.0,480.0,4.399,0.374,11.151,0.7170000000000001
Animation_480P-4b80,Animation,480,117,3.6180000000000003,3.428,3.4210000000000003,3.449,0.483,0.527,0.518,0.479,0.0,0.095,0.135,640.0,480.0,1.382,0.107,8.597000000000001,0.514
Animation_480P-4b86,Animation,480,131,3.495,3.286,3.153,3.153,0.535,0.54,0.578,0.66,0.013999999999999999,0.127,0.002,720.0,480.0,0.39899999999999997,0.10800000000000001,1.036,0.081
Animation_480P-4e36,Animation,480,116,3.303,3.4,3.389,3.3560000000000003,0.649,0.556,0.536,0.597,0.0,0.094,0,640.0,480.0,0.10800000000000001,0.361,0.19699999999999998,0.192
Animation_480P-52af,Animation,480,133,3.656,3.634,3.583,3.753,0.503,0.475,0.504,0.521,0.16399999999999998,0.096,0.07,854.0,480.0,1.48,0.013000000000000001,0.6509999999999999,0.01
Animation_480P-66c0,Animation,480,125,3.4530000000000003,3.492,3.4819999999999998,3.298,0.5379999999999999,0.604,0.594,0.578,0.044000000000000004,0.18899999999999997,0.219,720.0,480.0,0.747,0.301,1.5630000000000002,0.659
Animation_480P-6e23,Animation,480,114,3.7310000000000003,3.637,3.4539999999999997,3.556,0.504,0.5770000000000001,0.7240000000000001,0.66,0.0,0.095,0,854.0,480.0,0.177,0.253,1.037,0.048
Animation_480P-6ef6,Animation,480,115,3.6069999999999998,3.478,3.303,3.236,0.489,0.48100000000000004,0.513,0.541,0.0,0.094,0,640.0,480.0,0.166,0.33799999999999997,0.433,0.068
Animation_480P-6ff4,Animation,480,115,3.29,3.2939999999999996,3.115,2.863,0.675,0.7020000000000001,0.647,0.8320000000000001,0.138,0.126,0.194,854.0,480.0,1.48,0.488,3.201,0.305
Animation_480P-70d4,Animation,480,120,3.8480000000000003,3.9,3.793,3.6239999999999997,0.524,0.469,0.462,0.514,0.057999999999999996,0.287,0.107,720.0,480.0,0.19399999999999998,0.423,1.3659999999999999,0.09300000000000001
Animation_480P-7114,Animation,480,120,3.653,3.557,3.522,3.6069999999999998,0.46,0.45299999999999996,0.467,0.46799999999999997,0.005,0.095,0.569,854.0,480.0,0.946,0.379,6.082000000000001,0.395
Animation_480P-791b,Animation,480,137,3.286,3.0669999999999997,3.1189999999999998,3.034,0.591,0.624,0.677,0.653,0.0,0.09699999999999999,0,640.0,480.0,0.162,0.063,0.243,0.065
Animation_480P-7a31,Animation,480,117,3.487,3.28,3.341,3.438,0.524,0.612,0.7440000000000001,0.53,0.027000000000000003,0.094,0.497,640.0,480.0,4.417,0.046,3.7430000000000003,0.467
Animation_480P-7ef2,Animation,480,119,3.1639999999999997,2.9560000000000004,3.076,3.448,0.5870000000000001,0.628,0.667,0.604,0.022000000000000002,0.305,0.091,854.0,480.0,0.47700000000000004,0.228,1.777,0.23800000000000002
Animation_720P-0116,Animation,720,135,4.053999999999999,4.074,4.037,4.11,0.62,0.607,0.605,0.594,0.0,0.094,0,1280.0,720.0,0.39299999999999996,0.192,0.376,0.0
Animation_720P-01b3,Animation,720,112,3.638,3.448,3.282,3.238,0.589,0.5670000000000001,0.706,0.677,0.040999999999999995,0.16399999999999998,0,1280.0,720.0,1.196,0.317,5.46,0.231
Animation_720P-06a6,Animation,720,123,3.9419999999999997,4.178,4.141,4.155,0.552,0.597,0.5660000000000001,0.5660000000000001,0.0,0.1,[NULL],1280.0,720.0,2.415,0.21899999999999997,3.029,0.10400000000000001
Animation_720P-0acc,Animation,720,122,3.8760000000000003,3.7710000000000004,3.8810000000000002,3.886,0.501,0.597,0.521,0.5,0.215,0.094,0.281,1280.0,720.0,0.914,0.619,5.422999999999999,0.16399999999999998
Animation_720P-0c8f,Animation,720,114,3.409,3.388,3.635,3.596,0.519,0.539,0.46,0.499,0.17,0.355,1,1280.0,720.0,0.552,0.223,6.881,0.068
Animation_720P-13b7,Animation,720,136,4.3180000000000005,4.095,4.19,3.898,0.46799999999999997,0.5760000000000001,0.501,0.545,0.0,0.525,0,1280.0,720.0,0.27899999999999997,0.124,0.304,0.17600000000000002
Animation_720P-1a6d,Animation,720,129,4.283,4.22,4.348,4.375,0.526,0.606,0.512,0.519,0.32899999999999996,0.094,0.254,1280.0,720.0,1.94,0.084,1.611,0.0
Animation_720P-2525,Animation,720,106,3.73,3.719,3.696,3.804,0.498,0.43,0.496,0.496,0.0,0.094,0.162,1280.0,720.0,1.15,0.053,0.106,0.48100000000000004
Animation_720P-26d2,Animation,720,132,3.14,3.0180000000000002,2.9989999999999997,3.125,0.627,0.619,0.632,0.6809999999999999,0.075,0.094,0.031,1280.0,720.0,0.716,0.218,10.349,0.06
Animation_720P-2abf,Animation,720,127,3.615,3.428,3.304,3.48,0.6859999999999999,0.639,0.768,0.708,0.0,0.094,0.114,1280.0,720.0,1.351,0.284,5.334,0.0
Animation_720P-31c9,Animation,720,129,4.351,4.195,4.207,4.188,0.56,0.532,0.604,0.598,,,,,,,,,
Animation_720P-3adc,Animation,720,118,3.575,3.375,3.4219999999999997,3.3560000000000003,0.48200000000000004,0.599,0.564,0.603,0.332,0.094,0,1280.0,720.0,1.61,0.028999999999999998,1.735,0.13
Animation_720P-412a,Animation,720,145,4.249,4.265,4.234,4.128,0.599,0.7040000000000001,0.649,0.6629999999999999,0.078,0.442,0.115,1280.0,720.0,0.8640000000000001,0.27699999999999997,5.361000000000001,0.311
Animation_720P-41cf,Animation,720,131,3.862,3.9930000000000003,3.862,4.075,0.46399999999999997,0.6579999999999999,0.602,0.636,0.0,0.838,0.125,1280.0,720.0,0.33899999999999997,0.6579999999999999,0.9359999999999999,0.179
Animation_720P-41d6,Animation,720,141,4.148,4.178,4.191,4.262,0.619,0.634,0.6609999999999999,0.564,0.0,0.095,0.114,960.0,720.0,0.775,0.243,12.338,0.622
Animation_720P-4268,Animation,720,123,3.846,3.682,3.7319999999999998,3.793,0.537,0.568,0.491,0.5429999999999999,0.019,0.094,0.045,1280.0,720.0,0.6409999999999999,0.7290000000000001,5.398,0.077
Animation_720P-431c,Animation,720,135,4.396,4.462,4.189,4.236000000000001,0.49,0.405,0.5710000000000001,0.43200000000000005,0.031,0.48200000000000004,0,1280.0,720.0,0.177,0.45899999999999996,1.51,0.094
Animation_720P-4b17,Animation,720,128,4.074,4.115,4.195,4.141,0.461,0.5660000000000001,0.614,0.564,0.0,0.094,0.02,1280.0,720.0,1.5030000000000001,0.003,0.09300000000000001,0.187
Animation_720P-57d9,Animation,720,121,3.522,2.7510000000000003,3.572,3.533,0.513,0.657,0.527,0.49200000000000005,0.006,0.095,0.306,1280.0,720.0,0.623,0.43700000000000006,9.232000000000001,0.253
Animation_720P-5bfc,Animation,720,129,4.421,4.433,4.252,4.494,0.467,0.449,0.621,0.43799999999999994,0.038,0.095,0.201,1280.0,720.0,1.98,0.569,12.152000000000001,0.34700000000000003
Animation_720P-620f,Animation,720,127,4.522,4.64,4.641,4.501,0.47700000000000004,0.375,0.385,0.433,0.023,0.156,0.118,1280.0,720.0,0.282,0.40299999999999997,0.6579999999999999,0.466
Animation_720P-6372,Animation,720,124,4.422,4.235,3.825,4.317,0.47700000000000004,0.645,0.589,0.528,0.125,0.268,0.231,1280.0,720.0,2.01,0.639,22.895,0.113
Animation_720P-79ee,Animation,720,152,2.197,1.9680000000000002,2.006,2.072,0.9109999999999999,0.643,0.63,0.524,0.153,0.094,1,1280.0,720.0,2.029,0.281,3.804,0.021
Animation_720P-7b29,Animation,720,125,3.862,3.733,3.662,3.826,0.47700000000000004,0.583,0.5,0.507,0.002,0.18899999999999997,0.131,1280.0,720.0,1.422,0.259,7.694,0.033
Animation_720P-7e7d,Animation,720,114,3.589,3.234,3.236,3.36,0.63,0.769,0.867,0.816,0.038,0.095,0,1280.0,720.0,2.19,0.816,9.802,0.539
Animation_720P-7ff2,Animation,720,136,4.124,4.156000000000001,3.866,3.904,0.627,0.616,0.581,0.581,0.285,0.098,0.098,1280.0,720.0,0.87,1.0190000000000001,3.656,0.10099999999999999
CoverSong_1080P-0188,CoverSong,1080,138,2.383,2.205,2.224,2.2840000000000003,1.0959999999999999,1.122,1.079,1.088,0.0,0.094,0,1920.0,1080.0,3.61,0.115,0.574,0.087
CoverSong_1080P-033d,CoverSong,1080,127,4.433,4.401,4.532,4.478,0.46799999999999997,0.47100000000000003,0.41,0.46299999999999997,0.08,0.094,0.122,1920.0,1080.0,1.459,0.281,0.647,0.076
CoverSong_1080P-0a86,CoverSong,1080,137,4.228,4.275,4.05,4.103,0.447,0.46,0.535,0.597,0.055999999999999994,0.11699999999999999,0,1920.0,1080.0,0.6759999999999999,0.24600000000000002,1.425,0.149
CoverSong_1080P-0cdc,CoverSong,1080,135,2.741,2.3169999999999997,2.3480000000000003,2.381,0.695,0.522,0.506,0.527,0.086,0.094,0.101,1920.0,1080.0,0.17600000000000002,0.46399999999999997,0.107,0.076
CoverSong_1080P-0f33,CoverSong,1080,120,3.221,3.18,3.014,3.036,0.494,0.46799999999999997,0.652,0.648,0.142,0.109,0.124,1920.0,1080.0,0.414,0.41700000000000004,0.126,0.165
CoverSong_1080P-0f3a,CoverSong,1080,130,4.3580000000000005,4.438,4.394,4.467,0.478,0.405,0.474,0.39899999999999997,0.062,0.094,0.052,1440.0,1080.0,1.3719999999999999,0.5,10.135,0.0
CoverSong_1080P-1963,CoverSong,1080,126,3.8819999999999997,3.7560000000000002,3.6,3.4530000000000003,0.539,0.525,0.54,0.639,0.159,0.098,0.065,1920.0,1080.0,0.41200000000000003,0.025,0.11699999999999999,0.096
CoverSong_1080P-1b08,CoverSong,1080,103,3.812,3.7119999999999997,3.6919999999999997,3.67,0.48100000000000004,0.439,0.44799999999999995,0.484,0.0,0.094,0.183,1920.0,1080.0,0.731,0.265,0.373,0.078
CoverSong_1080P-1b0c,CoverSong,1080,129,3.763,3.753,3.673,3.707,0.496,0.449,0.46,0.469,0.052000000000000005,0.11,0.135,1920.0,1080.0,0.485,0.5660000000000001,0.634,0.608
CoverSong_1080P-2207,CoverSong,1080,119,3.675,3.611,4.086,4.079,0.511,0.514,0.602,0.59,0.006,0.095,0.034,1440.0,1080.0,1.797,0.524,11.265,0.0
CoverSong_1080P-237f,CoverSong,1080,132,3.8930000000000002,3.7089999999999996,3.613,4.1339999999999995,0.5379999999999999,0.511,0.489,0.637,0.111,0.135,0,1920.0,1080.0,1.51,0.397,11.578,0.445
CoverSong_1080P-3409,CoverSong,1080,133,4.331,4.295,4.2780000000000005,4.334,0.489,0.467,0.564,0.49200000000000005,0.0,0.094,0,1920.0,1080.0,1.9140000000000001,0.136,0.609,0.179
CoverSong_1080P-3499,CoverSong,1080,105,4.1930000000000005,4.198,4.2989999999999995,4.345,0.386,0.5770000000000001,0.493,0.47100000000000003,0.263,0.094,0.165,1920.0,1080.0,1.4240000000000002,0.35600000000000004,1.859,0.369
CoverSong_1080P-3aac,CoverSong,1080,112,3.3810000000000002,3.531,3.2960000000000003,3.3360000000000003,0.489,0.534,0.465,0.503,0.17600000000000002,0.094,0.224,1920.0,1080.0,1.351,0.363,0.261,0.552
CoverSong_1080P-3df8,CoverSong,1080,124,3.827,3.701,3.718,3.8089999999999997,0.507,0.491,0.445,0.465,0.002,0.094,0.111,1920.0,1080.0,0.713,0.491,3.622,0.08
CoverSong_1080P-4bad,CoverSong,1080,136,4.298,4.367,4.428,4.361000000000001,0.45799999999999996,0.504,0.445,0.515,0.11,0.094,0,1920.0,1080.0,1.349,0.187,0.27899999999999997,0.349
CoverSong_1080P-5430,CoverSong,1080,137,3.969,3.7439999999999998,4.032,4.217,0.47700000000000004,0.484,0.599,0.575,0.054000000000000006,0.095,0,1920.0,1080.0,1.05,0.29100000000000004,4.23,0.426
CoverSong_1080P-5456,CoverSong,1080,112,3.736,3.8289999999999997,3.778,3.762,0.445,0.51,0.541,0.523,0.0,0.095,0,1920.0,1080.0,0.252,0.344,0.151,0.006999999999999999
CoverSong_1080P-5cae,CoverSong,1080,117,3.2089999999999996,3.141,3.2,3.245,0.662,0.64,0.495,0.5429999999999999,0.26899999999999996,0.373,0.099,1920.0,1080.0,0.802,0.445,0.064,0.122
CoverSong_1080P-5e69,CoverSong,1080,124,3.29,3.449,3.389,3.352,0.507,0.5539999999999999,0.503,0.48700000000000004,0.285,0.094,0,1920.0,1080.0,0.49700000000000005,0.5379999999999999,0.29,0.16899999999999998
CoverSong_1080P-5f92,CoverSong,1080,104,4.043,4.284,4.24,4.245,0.489,0.467,0.521,0.451,0.069,0.094,0.086,1920.0,1080.0,0.488,0.195,0.9490000000000001,0.006999999999999999
CoverSong_1080P-6f26,CoverSong,1080,137,4.288,4.328,4.151,4.1160000000000005,0.48700000000000004,0.488,0.591,0.584,0.062,0.19699999999999998,0,1440.0,1080.0,1.636,0.48700000000000004,7.171,0.46299999999999997
CoverSong_360P-0a9d,CoverSong,360,130,2.5380000000000003,2.2840000000000003,2.218,2.224,0.752,0.521,0.461,0.466,0.067,0.094,0.273,640.0,360.0,0.821,0.11199999999999999,0.25,0.539
CoverSong_360P-0aa2,CoverSong,360,123,2.511,2.3680000000000003,2.26,2.306,0.5720000000000001,0.495,0.45899999999999996,0.43200000000000005,0.364,0.096,0.28,640.0,360.0,1.546,0.149,0.439,0.092
CoverSong_360P-11f9,CoverSong,360,120,2.79,2.533,2.6639999999999997,2.612,0.55,0.51,0.535,0.542,0.01,0.094,0.322,640.0,360.0,1.671,0.135,0.46799999999999997,0.715
CoverSong_360P-130a,CoverSong,360,115,3.449,3.386,3.4160000000000004,3.338,0.509,0.483,0.486,0.397,,,,,,,,,
CoverSong_360P-13d2,CoverSong,360,104,2.5780000000000003,2.395,2.32,2.439,0.667,0.47100000000000003,0.483,0.45299999999999996,0.0,0.094,0.23,640.0,360.0,1.204,0.14,0.447,0.256
CoverSong_360P-14b9,CoverSong,360,114,2.633,2.4290000000000003,2.506,2.539,0.578,0.446,0.43,0.47100000000000003,0.152,0.094,0.308,640.0,360.0,1.077,0.253,0.45,0.23199999999999998
CoverSong_360P-1b2b,CoverSong,360,116,3.409,3.127,3.218,3.034,0.5710000000000001,0.479,0.516,0.605,0.019,0.10800000000000001,0.305,640.0,360.0,1.079,0.17300000000000001,1.218,0.0
CoverSong_360P-2146,CoverSong,360,128,2.273,2.209,2.226,2.256,0.6759999999999999,0.414,0.426,0.447,0.04,0.094,0.809,640.0,360.0,1.052,0.297,0.52,0.205
CoverSong_360P-2b4d,CoverSong,360,125,2.7960000000000003,2.673,2.807,2.657,0.5329999999999999,0.429,0.594,0.434,0.0,0.096,0.061,480.0,360.0,1.338,0.142,0.254,0.515
CoverSong_360P-3218,CoverSong,360,129,2.427,2.153,2.247,2.35,0.7120000000000001,0.503,0.493,0.499,0.247,0.094,0.172,640.0,360.0,1.5419999999999998,0.192,0.489,0.789
CoverSong_360P-4add,CoverSong,360,128,2.855,2.6489999999999996,2.761,2.657,0.621,0.515,0.529,0.5,0.209,0.094,0.12,640.0,360.0,0.79,0.09,0.174,0.004
CoverSong_360P-53a6,CoverSong,360,127,3.235,3.2289999999999996,3.115,2.9360000000000004,0.506,0.52,0.537,0.6459999999999999,0.053,0.094,0.114,640.0,360.0,1.5090000000000001,0.105,0.48,0.63
CoverSong_360P-59d1,CoverSong,360,126,2.8280000000000003,2.363,2.417,2.241,0.667,0.436,0.5479999999999999,0.43799999999999994,0.41,0.10300000000000001,0.256,640.0,360.0,1.538,0.14,0.42700000000000005,0.08900000000000001
CoverSong_360P-5a24,CoverSong,360,114,2.7889999999999997,2.582,2.7430000000000003,2.909,0.6559999999999999,0.489,0.48700000000000004,0.614,0.040999999999999995,0.095,0.163,640.0,360.0,0.998,0.126,0.698,0.34
CoverSong_360P-5d20,CoverSong,360,119,2.943,2.56,2.658,2.5140000000000002,0.642,0.475,0.48,0.465,0.09,0.132,0.142,480.0,360.0,0.521,0.212,0.402,1.031
CoverSong_360P-67ec,CoverSong,360,117,2.404,2.213,2.782,2.8710000000000004,0.581,0.519,0.534,0.508,0.017,0.111,0.391,640.0,360.0,1.023,0.188,2.61,0.275
CoverSong_360P-69ef,CoverSong,360,118,3.145,2.9739999999999998,3.148,2.972,0.609,0.589,0.495,0.597,0.052000000000000005,0.095,0.091,480.0,360.0,1.1540000000000001,0.114,0.446,0.451
